Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
Schwann cell precursor,A giioblast cell that develops from a migratory neural crest cell. The SCP is embedded among neurons (axons) with minimal extracellular spaces separating them from nerve cell membranes and has no basal lamina. In rodents SCPs are the only cells in the Schwann cell linage that expresses Cdh19.,"","",FALSE,http://purl.obolibrary.org/obo/CL_0002375,cellType,,"","",Schwann_Cell_Precursor,Class,Biosample,Cell,Primary_Cell,"","",""
B-lymphocytes,A lymphocyte of B lineage with the phenotype CD19-positive and surface immunoglobulin-positive.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000236,cellType,,"","",B-lymphocytes,Class,Biosample,Cell,Primary_Cell,"","",""
Embryonic stem cells,Embryonic stem (ES) cells are cells derived from the inner cell mass of the early embryo that can be propagated indefinitely in the primitive undifferentiated state while remaining pluripotent.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12935,cellType,,"","",Embryonic_Stem_Cells,Class,Biosample,Cell,Primary_Cell,"","",""
iPSC,Induced pluripotent stem cells (iPS cells or iPSCs) are a type of pluripotent stem cell artificially derived from a non-pluripotent cell.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0004905,cellType,,"","",iPSC,Class,Biosample,Cell,iPSC,"","",""
iPSC-derived telencephalic organoids,three-dimensional neural cultures (organoids) derived from induced pluripotent stem cells.,"","",FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4519016/,cellType,,"","",iPSC-derived_telencephalic_organoids,Class,Biosample,Cell,iPSC,"","",""
GABAergic neurons,A neuron that uses GABA as a vesicular neurotransmitter.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/zfa/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FZFA_0009276,cellType,,"","",GABAergic_neurons,Class,Biosample,Cell,Primary_Cell,"","",""
monocytes,"Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.","","",FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000576,cellType,,"","",monocytes,Class,Biosample,Cell,Primary_Cell,"","",""
microglia,"The small, non-neural, interstitial cells of mesodermal origin that form part of the supporting structure of the central nervous system.","","",FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000078,cellType,,"","",microglia,Class,Biosample,Cell,Primary_Cell,"","",""
macrophages,"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.","","",FALSE,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000235,cellType,,"","",macrophages,Class,Biosample,Cell,Primary_Cell,"","",""
astrocytes,"Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with end-feet which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier.","","",FALSE,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000127,cellType,,"","",astrocytes,Class,Biosample,Cell,Primary_Cell,"","",""
SH-SY5Y,Human neuroblastoma clonal subline of the neuroepithelioma cell line SK-N-SH that had been established in 1970 from the bone marrow biopsy of a 4-year-old girl with metastatic neuroblastoma.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000793,cellType,,"","",SH-SY5Y,Class,Biosample,Cell,Cell_Line,"","",""
GLUtamatergic neurons,"Have Glutamate receptors, which are synaptic receptors located primarily on the membranes of neuronal cells. Glutamate (the conjugate base of glutamic acid) is abundant in the human body, but particularly in the nervous system and especially prominent in the human brain.","","",FALSE,https://en.wikipedia.org/wiki/Glutamate_receptor,cellType,,"","",GLUtamatergic neurons,Class,Biosample,Cell,Primary_Cell,"","",""
NeuN+,Is a neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.,"","",FALSE,https://en.wikipedia.org/wiki/NeuN,cellType,,"","",NeuN+,Class,Biosample,Cell,Primary_Cell,"","",""
NeuN-,Is a neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.,"","",FALSE,https://en.wikipedia.org/wiki/NeuN,cellType,,"","",NeuN-,Class,Biosample,Cell,Primary_Cell,"","",""
epithelial,Somatic cells that cover the surface of the body and line its cavities.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000066,cellType,,"","",epithelial,Class,Biosample,Cell,Primary_Cell,"","",""
epithelial-like,"In cell morphology, epithelial-like cells are polygonal in shape with more regular dimensions, and grow attached to a substrate in discrete patches.","","",FALSE,https://www.thermofisher.com/us/en/home/references/gibco-cell-culture-basics/cell-morphology.html,cellType,,"","",epithelial-like,Class,Biosample,Cell,Primary_Cell,"","",""
fibroblast,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000057,cellType,,"","",fibroblast,Class,Biosample,Cell,Primary_Cell,"","",""
round,A phenotype observation at the level of the cell shape where the cell is round,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/cmpo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fcmpo%2FCMPO_0000118,cellType,,"","",round,Class,Biosample,Cell,Primary_Cell,"","",""
lymphoblast,"Often referred to as a blast cell. Unlike other usages of the suffix -blast a lymphoblast is a further differentiation of a lymphocyte, T- or B-, occasioned by an antigenic stimulus. The lymphoblast usually develops by enlargement of a lymphocyte, active re-entry to the S phase of the cell cycle, mitogenesis and production of much m-RNA and ribosomes.","","",FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000772,cellType,,"","",lymphoblast,Class,Biosample,Cell,Primary_Cell,"","",""
CD8+ T-Cells,"Is a T lymphocyte (a type of white blood cell) that kills cancer cells, cells that are infected (particularly with viruses), or cells that are damaged in other ways.","","",FALSE,https://en.wikipedia.org/wiki/Cytotoxic_T_cell,cellType,,"","",CD8_T-Cells,Class,Biosample,Cell,Primary_Cell,"","",""
arachnoid,An arachnoid mater is a delicate membrane that encloses the spinal cord and brain and lies between the pia mater and dura mater.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001636,cellType,,"","",arachnoid,Class,Biosample,Cell,Tissue,"","",""
meningioma,A central nervous system cancer tissue that are manifested in the central nervous system and arise from the arachnoid 'cap' cells of the arachnoid villi in the meninges.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_3565,cellType,,"","",meningioma,Class,Biosample,Cell,Tissue,"","",""
schwannoma,"A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves.","","",FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693,cellType,,"","",schwannoma,Class,Biosample,Cell,Tissue,"","",""
oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.,"","",FALSE,http://purl.obolibrary.org/obo/CL_0000128,cellType,,"","",oligodendrocyte,Class,Biosample,Cell,Cell,"","",""
schwann,Schwann cells are a variety of glial cell that keep peripheral nerve fibres (both myelinated and unmyelinated) alive.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001220,cellType,,"","",schwann,Class,Biosample,Cell,Cell,"","",""
iPSC-derived neuron,"","","",FALSE,Sage Bionetworks,cellType,,"","",iPSC-derived_neuron,Class,Biosample,Cell,iPSC,"","",""
iPSC-derived glia,"","","",FALSE,Sage Bionetworks,cellType,,"","",iPSC-derived_glia,Class,Biosample,Cell,iPSC,"","",""
iPSC-derived astrocytes,"","","",FALSE,Sage Bionetworks,cellType,,"","",iPSC-derived_astrocytes,Class,Biosample,Cell,iPSC,"","",""
monocyte-derived microglia,"","","",FALSE,Sage Bionetworks,cellType,,"","",monocyte-derived_microglia,Class,Biosample,Cell,Primary_Cell,"","",""
iPSC-derived neuronal progenitor cell,"","","",FALSE,Sage Bionetworks,cellType,,"","",iPSC-derived_neuronal_progenitor_cell,Class,Biosample,Cell,iPSC,"","",""
CD138+,"","","",FALSE,"",cellType,,"","",CD138_positive,Class,Biosample,Cell,Cell,"","",""
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium,"","",FALSE,https://www.synapse.org/#!Synapse:syn4590897,cellType,,"","",CNON,Class,Biosample,Cell,Cell,"","",""
teratoma,"A non-seminomatous germ cell tumor characterized by the presence of various tissues which correspond to the different germinal layers (endoderm, mesoderm, and ectoderm). It occurs in the testis, ovary, and extragonadal sites including central nervous system, mediastinum, lung, and stomach","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C3403,cellType,,"","",Teratoma,Class,Biosample,Cell,Cell,"","",""
human foreskin fibroblasts,"generic human foreskin fibroblasts, often used as a control cell in toxicology experiments","","",FALSE,Sage Bionetworks,modelSystemName,,"","",human foreskin fibroblasts,Class,Biosample,Cell,fibroblasts,"","",""
